por_favor,_indique_el_espacio_en_el_que_vive/vivia_durante_el_confinamiento:;por_favor_indique_si_es_due単o_de_su_vivienda_o_vive_alquilado/a:;多cuantos_metros_cuadrados_utiles_(los_que_puede_pisar)_tiene/tenia_su_espacio_de_residencia_durante_la_cuarentena?;diria_que_su_espacio_de_residencia_durante_la_cuarentena_tiene:;diria_que_su_espacio_de_residencia_durante_la_cuarentena_tiene:.1;teniendo_en_mente_su_lugar_de_residencia_durante_el_confinamiento,_por_favor,_indique._numero_de_habitaciones_sin_contar_ba単o_y_cocina:;teniendo_en_mente_su_lugar_de_residencia_durante_el_confinamiento,_por_favor,_indique._numero_de_personas_con_las_que_cohabitaba/cohabita:;teniendo_en_mente_su_lugar_de_residencia_durante_el_confinamiento,_por_favor,_indique._numero_de_personas_en_su_mismo_dormitorio_excluyendose_a_usted_mismo/a:;多cuantas_veces_a_la_semana_ha_salido_de_casa_durante_la_cuarentena?;la_idea_de_que_deberia_ser_castigado/a_por_sus_pecados;Ansiedad
3;1;4;2;2;5;1;2.0;4;0;0
2;3;2;1;0;7;1;1.0;1;0;0
2;1;7;0;2;10;1;0.0;1;0;0
0;4;8;1;0;3;1;1.0;1;0;0
3;1;2;1;0;7;1;0.0;0;0;0
3;1;3;1;0;4;0;0.0;4;0;0
3;1;6;1;0;5;1;1.0;3;0;0
3;4;5;1;0;4;1;1.0;4;0;0
3;0;6;1;2;6;1;0.0;3;0;1
3;1;2;1;0;7;1;0.0;0;0;0
3;3;7;0;0;5;1;0.0;0;0;0
3;1;5;0;0;4;0;0.0;4;0;0
3;1;6;1;2;5;1;0.0;4;0;0
3;1;5;1;0;7;1;0.0;2;0;0
3;3;4;0;1;4;0;0.0;4;0;0
3;1;4;0;2;5;1;1.0;0;0;0
3;1;9;1;0;4;0;0.0;2;4;1
3;1;3;0;2;4;0;0.0;3;0;0
3;1;7;1;0;6;1;1.0;3;0;0
3;1;5;0;0;7;2;1.0;4;0;0
3;1;4;1;0;5;1;2.0;3;0;0
3;3;6;1;0;6;1;0.0;1;0;0
3;4;6;0;2;5;1;1.0;0;4;0
3;1;3;2;2;4;1;1.0;4;0;0
3;1;3;1;0;4;1;1.0;0;0;0
3;5;5;0;2;5;1;0.0;4;0;0
3;1;4;1;2;4;1;1.0;2;0;0
2;4;8;1;0;6;1;1.0;1;0;0
3;1;7;1;0;5;1;1.0;0;0;1
3;1;7;0;0;5;1;1.0;4;0;0
3;4;6;0;0;4;0;0.0;0;0;0
3;1;6;0;2;5;1;1.0;4;0;0
3;1;3;1;0;5;1;1.0;2;0;0
0;1;8;0;2;6;1;1.0;4;0;0
3;1;7;1;0;5;1;1.0;2;0;0
3;1;2;2;2;7;2;0.0;4;1;0
2;1;1;1;0;6;2;1.0;4;0;1
3;3;5;0;2;6;0;0.0;0;0;0
3;1;9;0;2;5;1;0.0;4;0;0
3;1;4;0;2;2;1;1.0;1;0;0
3;2;2;1;0;5;1;1.0;4;0;0
3;1;7;1;0;6;1;1.0;3;0;0
3;3;4;0;2;5;1;1.0;4;0;0
3;3;6;0;2;6;1;1.0;4;0;0
3;1;5;1;0;6;1;0.0;0;0;0
3;3;2;1;0;9;1;0.0;3;0;1
3;4;5;1;0;5;1;1.0;3;0;0
3;1;5;0;2;5;0;0.0;4;0;0
3;5;4;0;2;4;1;1.0;0;0;0
3;1;4;0;2;4;0;0.0;4;0;0
3;5;3;0;2;5;1;2.0;4;0;0
3;1;5;1;0;4;1;1.0;4;0;0
3;4;3;2;0;5;1;1.0;0;0;0
3;1;4;1;0;5;0;0.0;4;0;0
3;1;1;0;0;6;1;1.0;0;2;1
3;1;6;0;2;5;1;1.0;0;0;0
3;1;3;1;0;2;1;2.0;3;0;0
0;4;7;0;0;6;1;2.0;4;0;0
3;1;4;0;0;5;1;0.0;2;0;0
0;4;8;1;0;3;1;1.0;4;0;0
3;3;0;1;0;5;1;1.0;1;0;0
3;4;8;1;0;7;1;1.0;2;0;0
3;1;4;0;2;2;1;1.0;4;0;0
3;1;4;1;0;2;1;1.0;3;0;0
3;3;2;2;1;5;5;2.0;2;0;1
3;1;6;0;0;5;1;1.0;2;0;0
3;1;4;2;2;5;1;1.0;2;0;0
3;1;7;1;0;7;2;0.0;4;0;0
3;2;6;1;0;5;1;1.0;4;1;1
3;1;4;1;2;2;1;1.0;2;0;0
3;4;5;0;0;6;1;2.0;0;0;0
3;1;4;0;0;2;1;1.0;2;0;0
3;1;8;0;0;12;5;1.0;4;2;1
3;3;6;1;0;7;1;0.0;0;0;0
3;1;8;0;0;12;5;1.0;4;2;1
3;1;4;0;0;5;1;2.0;1;0;1
3;1;4;0;2;5;1;1.0;0;0;0
3;1;0;0;0;6;2;1.0;2;0;0
3;1;3;1;2;2;1;1.0;4;0;0
3;3;6;2;2;5;1;0.0;0;0;1
3;3;4;1;2;6;1;0.0;0;3;1
3;4;6;1;0;5;1;1.0;4;0;1
3;1;5;1;0;5;1;2.0;4;0;0
3;4;4;0;2;4;1;1.0;0;0;0
3;1;4;0;0;5;1;1.0;0;0;0
3;4;4;1;0;5;0;0.0;3;0;0
3;4;6;0;0;7;1;1.0;0;1;0
3;1;4;0;2;2;1;1.0;0;0;0
3;1;6;0;2;4;1;1.0;2;0;0
3;1;7;1;0;7;1;0.0;0;0;0
3;1;3;0;2;4;1;1.0;4;0;0
3;1;6;1;0;4;1;1.0;4;0;0
3;1;6;1;0;7;1;0.0;0;0;0
3;5;6;1;0;6;1;1.0;3;0;0
3;1;5;0;2;4;1;1.0;0;0;0
3;1;4;0;0;2;1;1.0;0;0;0
3;3;7;0;2;7;1;0.0;3;0;0
3;5;6;1;0;6;1;0.0;2;0;0
3;5;8;1;0;9;1;0.0;2;0;0
3;1;3;1;0;5;1;1.0;4;0;1
3;1;5;0;2;5;1;1.0;2;2;1
3;4;5;1;0;4;1;1.0;4;0;0
3;1;5;1;0;4;0;0.0;2;0;0
3;1;4;1;2;4;1;1.0;3;0;0
3;4;7;0;2;5;1;0.0;3;0;0
3;1;4;0;2;5;0;0.0;4;0;0
3;1;0;1;0;6;1;1.0;0;0;0
3;3;6;1;2;7;1;0.0;1;0;0
3;1;6;0;2;6;1;1.0;0;0;0
0;3;8;1;0;5;1;2.0;1;0;0
3;1;6;0;0;5;1;1.0;3;0;0
3;1;5;0;0;6;1;1.0;0;0;0
3;1;4;2;1;4;1;1.0;0;0;0
3;1;5;1;2;4;1;1.0;3;0;0
2;3;8;1;0;6;1;1.0;4;0;0
3;1;3;0;2;6;1;0.0;2;3;0
